Content,Role,Predicted Label,Timestamps
What’s the date?,Interviewer,-,
"April 15, in Lithuania, Kretinga. It was a little provincial town, but was Apskritis region town. And we felt that the town is big for us.",Interviewee,Tension,
How many people lived in Kretinga?,Interviewer,-,
"There – I understand that at that time was 7,000 people.",Interviewee,No Tension,
Okay.,Interviewer,-,
"7,000 people that – but they had all the offices what – what big towns had, and – you know, and – and then –",Interviewee,Tension,
"Who was your father? What was his – http://collections.ushmm.org Contact reference@ushmm.org for further information about this collection This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy. Interview with Pranas Jurkus April 30, 2012 4",Interviewer,-,
"My – my father was a carpenter, builder. He not only carpenting, but he did the – he build houses too. Wood houses. And, not only that, he made music instruments, cymbals and violin. And the one event that I remember, that he was constantly consulting with one Jewish guy, Mortkis(ph). Mortkis(ph) [indecipherable] i-in Kretinga was that – who used to sell ice cream, the best ice cream. And I remember that he was building one violin, and my father. And that violin was later by my sisters given to the museum in Kretinga.",Interviewee,No Tension,
"I don’t understand, di – was your father making a violin for this gentleman, for Mortka –",Interviewer,-,
No –,Interviewee,No Tension,
No.,Interviewer,-,
– for himself.,Interviewee,No Tension,
Your father was making it for hims –,Interviewer,-,
He just – as a – as a carpenter.,Interviewee,No Tension,
Okay.,Interviewer,-,
"He was very handy, he wanted to make.",Interviewee,No Tension,
Okay.,Interviewer,-,
He decided to make. And they both com-competed – competing.,Interviewee,No Tension,
"Oh, so Mr. Mortkis(ph) also made – http://collections.ushmm.org Contact reference@ushmm.org for further information about this collection This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy. Interview with Pranas Jurkus April 30, 2012 5",Interviewer,-,
With – Mortkis(ph) was carpenter too.,Interviewee,No Tension,
"Ah, and they would see whose violin –",Interviewer,-,
"And – whose violin is the best sounding in all [indecipherable]. I remember only that – that he was constantly, every part, comparing with that – that Mortkis(ph). And that’s what – actually there was the – the contact with the Jewish people. And I know that he was, you know, we – we constantly – and he used to get matzo. And this was, for kids, that was something unusual.",Interviewee,Tension,
Did you like it?,Interviewer,-,
"Oh, I – I like. I like very much.",Interviewee,No Tension,
Yeah.,Interviewer,-,
So – and then –,Interviewee,No Tension,
I want to know more – a little bit about your family. Your father’s name?,Interviewer,-,
My – my – my father was born in Jokubavas. My mother was from Kalvarija.,Interviewee,No Tension,
What was her name?,Interviewer,-,
Ona.,Interviewee,No Tension,
And his name?,Interviewer,-,
His was Pranas.,Interviewee,No Tension,
Pranas.,Interviewer,-,
"Yeah. http://collections.ushmm.org Contact reference@ushmm.org for further information about this collection This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy. Interview with Pranas Jurkus April 30, 2012 6",Interviewee,No Tension,
Like you.,Interviewer,-,
Exactly.,Interviewee,No Tension,
Or you like him.,Interviewer,-,
"Yes, I think that this was a – a custom.",Interviewee,Tension,
Okay.,Interviewer,-,
"To make the first son always the father’s name. And then I had one older, two years older sister, Yedviga(ph). Then one – and two younger. Was Adele, [indecipherable] Alduta(ph).",Interviewee,No Tension,
And Alduta would be –,Interviewer,-,
Alut – [break],Interviewee,No Tension,
"Okay. So tell us a little – tell us a little bit about your family. Your – it sounds to me like you were the only boy in a family of all – of all girls, is that so?",Interviewer,-,
"Yes, that’s true.",Interviewee,No Tension,
Okay.,Interviewer,-,
"I was the only one son, and three girls.",Interviewee,No Tension,
And did all of you go to school?,Interviewer,-,
